date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,lag_median,value_median
2021-11-17,FR,161,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-18,EU_others,162,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-18,EU_others,162,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-21,EU_others,163,Omicron BA.2,Imported,1,2021-11-08,13,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-21,EU_others,163,Omicron BA.2,Imported,1,2021-11-08,13,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,AS_others,164,Omicron BA.2,Imported,1.6690979793821914,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,AS_others,164,Omicron BA.2,Imported,1.685957554931507,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,EU_others,165,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,EU_others,165,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,GB,166,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,GB,166,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-17,EU_others,167,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-17,EU_others,167,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-12,FR,168,Omicron BA.2,Imported,1,2021-11-08,4,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-12,FR,168,Omicron BA.2,Imported,1,2021-11-08,4,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-12,EU_others,169,Omicron BA.2,Imported,2,2021-11-08,4,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-12,EU_others,169,Omicron BA.2,Imported,2,2021-11-08,4,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-22,EU_others,17,Omicron BA.2,Imported,1,2021-11-08,14,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-22,EU_others,17,Omicron BA.2,Imported,1,2021-11-08,14,Traveler weight,Change DSR,1,2,fig_3d,8,1
